Name,URL,red,greenteal,blue,white,black,orangeyellow,purple,bars,stripes,circles,crosses,saltires,quarters,stars,crescents,triangles,contains_image,contains_text
Oklahoma,https://flagcdn.com/w640/us-ok.png,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,1,0,0,0,0,0,0,TRUE,TRUE
Oregon,https://flagcdn.com/w640/us-or.png,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0,0,33,0,0,TRUE,TRUE
Pennsylvania,https://flagcdn.com/w640/us-pa.png,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,TRUE,TRUE
Rhode Island,https://flagcdn.com/w640/us-ri.png,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0,0,13,0,0,TRUE,TRUE
South Carolina,https://flagcdn.com/w640/us-sc.png,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,1,0,TRUE,FALSE
South Dakota,https://flagcdn.com/w640/us-sd.png,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,TRUE,TRUE
Tennessee,https://flagcdn.com/w640/us-tn.png,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,1,0,1,0,0,0,3,0,0,FALSE,FALSE
Texas,https://flagcdn.com/w640/us-tx.png,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,1,2,0,0,0,0,1,0,0,FALSE,FALSE
Utah,https://flagcdn.com/w640/us-ut.png,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,0,0,1,0,0,0,45,0,0,TRUE,TRUE
Vermont,https://flagcdn.com/w640/us-vt.png,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,TRUE,TRUE
Virginia,https://flagcdn.com/w640/us-va.png,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,1,0,0,0,0,0,0,TRUE,TRUE
Washington,https://flagcdn.com/w640/us-wa.png,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,0,0,1,0,0,0,0,0,0,TRUE,TRUE
West Virginia,https://flagcdn.com/w640/us-wv.png,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,TRUE,TRUE
Wisconsin,https://flagcdn.com/w640/us-wi.png,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,TRUE,TRUE
Wyoming,https://flagcdn.com/w640/us-wy.png,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,TRUE,TRUE
